n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,SG,IMLE,10.0,1.0,0.1,5,10,0.217403843998909,0.0441414825618267,0.2260430306196212,0.0511731877923011
50,SG,IMLE,10.0,1.0,0.1,20,20,0.2210261672735214,0.0462130978703498,0.2250416129827499,0.0485493503510952
50,SG,IMLE,10.0,1.0,0.1,5,30,0.2268818318843841,0.0417516939342021,0.2250754386186599,0.0467577539384365
50,SG,IMLE,10.0,1.0,0.5,10,10,0.2159624993801117,0.0511688403785228,0.2283611446619033,0.0542880482971668
50,SG,IMLE,10.0,1.0,0.5,10,20,0.2220001816749572,0.0418835766613483,0.2298022806644439,0.0442607253789901
50,SG,IMLE,10.0,1.0,0.5,20,10,0.2243531644344329,0.0477741919457912,0.2301344126462936,0.0471980385482311
50,SG,IMLE,10.0,1.0,0.5,20,20,0.2179572135210037,0.0494733192026615,0.2282230705022812,0.0507432147860527
50,SG,IMLE,10.0,1.0,0.5,15,20,0.2230066061019897,0.0480973646044731,0.2293287217617035,0.0504796653985977
50,SG,IMLE,10.0,1.0,0.5,15,10,0.2156107872724533,0.0477411560714244,0.2271450012922287,0.0503616482019424
50,SG,IMLE,10.0,1.0,0.5,20,30,0.2179946154356002,0.0558706186711788,0.2279085516929626,0.0495713800191879
50,SG,IMLE,10.0,1.0,0.5,10,30,0.2284299880266189,0.0458925887942314,0.2239241451025009,0.0490670911967754
50,SG,IMLE,10.0,1.0,0.5,5,10,0.2220295369625091,0.0451585277915,0.2269291877746582,0.0472270660102367
50,SG,IMLE,10.0,1.0,0.5,15,30,0.2187388986349105,0.0504734143614769,0.2258498221635818,0.0489116534590721
50,SG,IMLE,10.0,1.0,0.5,5,20,0.2199004590511322,0.0469883121550083,0.2204982191324234,0.0493655540049076
50,SG,IMLE,10.0,1.0,0.5,5,30,0.2247513532638549,0.041980855166912,0.2295553237199783,0.0450755059719085
50,SG,IMLE,10.0,1.0,1.0,10,20,0.1449258029460907,0.0366883091628551,0.1289095133543014,0.0369947664439678
50,SG,IMLE,10.0,1.0,1.0,10,10,0.1401449590921402,0.0379927940666675,0.1278521865606308,0.0365291163325309
50,SG,IMLE,10.0,1.0,1.0,15,10,0.1420950442552566,0.0362599715590477,0.1277025938034057,0.0377800613641738
50,SG,IMLE,10.0,1.0,1.0,10,30,0.1420848220586776,0.0374930799007415,0.1286349296569824,0.03904864564538
50,SG,IMLE,10.0,1.0,1.0,15,20,0.1425478607416153,0.0367671623826026,0.1277635991573333,0.0381373800337314
50,SG,IMLE,10.0,1.0,1.0,20,20,0.1404718458652496,0.0364650301635265,0.1274914890527725,0.0378790684044361
50,SG,IMLE,10.0,1.0,1.0,20,10,0.1444112062454223,0.0369633287191391,0.128071516752243,0.0382086634635925
50,SG,IMLE,10.0,1.0,1.0,15,30,0.142717108130455,0.0396072939038276,0.1268264055252075,0.0380698442459106
50,SG,IMLE,10.0,1.0,1.0,5,10,0.1419716775417328,0.0392106585204601,0.1289544850587844,0.037592377513647
50,SG,IMLE,10.0,1.0,1.0,20,30,0.1436297744512558,0.0335817150771617,0.1302677541971206,0.0395516455173492
50,SG,IMLE,10.0,1.0,2.0,15,20,0.2189939469099044,0.0430982820689678,0.2274333536624908,0.0434743016958236
50,SG,IMLE,10.0,1.0,2.0,15,30,0.2201953083276748,0.0474747084081172,0.2267401814460754,0.0485046207904815
50,SG,IMLE,10.0,1.0,2.0,10,30,0.2148350775241851,0.0459008775651454,0.2222986072301864,0.0478360429406166
50,SG,IMLE,10.0,1.0,1.0,5,30,0.140594333410263,0.0347624383866786,0.1288671344518661,0.03672631457448
50,SG,IMLE,10.0,1.0,2.0,15,10,0.2165453284978866,0.0442152731120586,0.2187433987855911,0.0458770431578159
50,SG,IMLE,10.0,1.0,2.0,10,20,0.2182305306196212,0.041045356541872,0.2233539819717407,0.0474409237504005
50,SG,IMLE,10.0,1.0,2.0,10,10,0.2186172902584076,0.0501497648656368,0.2183714359998703,0.0487268902361393
50,SG,IMLE,10.0,1.0,1.0,5,20,0.1433488428592682,0.0419746153056621,0.1261561810970306,0.0385906919836998
50,SG,IMLE,10.0,1.0,2.0,20,20,0.2133551985025406,0.0462138392031192,0.2215550988912582,0.0446139946579933
50,SG,IMLE,10.0,1.0,2.0,20,10,0.216318741440773,0.0443423092365264,0.2206029444932937,0.0448860712349414
