n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,SG,IMLE,10,10.0,0.5,5,30,0.2199869304895401,0.04205254837870598,0.22823674976825714,0.045644816011190414
50,SG,IMLE,10,10.0,1.0,10,20,0.143110454082489,0.03867054730653763,0.12817732989788055,0.03830600902438164
50,SG,IMLE,10,10.0,1.0,15,20,0.14217013120651245,0.03241343796253204,0.12915174663066864,0.03818102926015854
50,SG,IMLE,10,10.0,1.0,20,10,0.144894078373909,0.034646838903427124,0.13001932203769684,0.039156027138233185
50,SG,IMLE,10,10.0,1.0,15,30,0.1408986896276474,0.03777829185128212,0.12819015979766846,0.03757301717996597
50,SG,IMLE,10,10.0,1.0,15,10,0.14241722226142883,0.03285673260688782,0.12743481993675232,0.03610783442854881
50,SG,IMLE,10,10.0,1.0,20,20,0.14170879125595093,0.036279190331697464,0.12663275003433228,0.037004780024290085
50,SG,IMLE,10,10.0,1.0,20,30,0.1468823254108429,0.03977639973163605,0.1280478537082672,0.038612812757492065
50,SG,IMLE,10,10.0,1.0,5,20,0.14159758388996124,0.037989795207977295,0.12831053137779236,0.03917170315980911
50,SG,IMLE,10,10.0,1.0,5,10,0.14283885061740875,0.03889703005552292,0.12802496552467346,0.03793903812766075
50,SG,IMLE,10,10.0,1.0,5,30,0.1440039873123169,0.03694514185190201,0.12888391315937042,0.03702731058001518
50,SG,IMLE,10,10.0,2.0,10,30,0.19138872623443604,0.04580025002360344,0.18684856593608856,0.04467824473977089
50,SG,IMLE,10,10.0,2.0,10,10,0.18509583175182343,0.03851514682173729,0.16768676042556763,0.04337041825056076
50,SG,IMLE,10,10.0,2.0,10,20,0.19271525740623474,0.04508371278643608,0.18979153037071228,0.04389560967683792
50,SG,IMLE,10,10.0,2.0,20,20,0.18219061195850372,0.038211625069379807,0.1637575775384903,0.04388611763715744
50,SG,IMLE,10,10.0,2.0,20,10,0.18481531739234924,0.03810252621769905,0.16070963442325592,0.04352971538901329
50,SG,IMLE,10,10.0,2.0,15,10,0.17869363725185394,0.034613534808158875,0.16261059045791626,0.04299379512667656
50,SG,IMLE,10,10.0,2.0,20,30,0.18703891336917877,0.04520820826292038,0.16270488500595093,0.04214027523994446
50,SG,IMLE,10,10.0,2.0,15,20,0.18575724959373474,0.04217392951250076,0.1680644154548645,0.04168366640806198
50,SG,IMLE,10,10.0,2.0,15,30,0.180678591132164,0.03620234504342079,0.169391930103302,0.04399246722459793
50,SG,IMLE,10,1.0,0.1,10,10,0.22192783653736115,0.051156654953956604,0.22228382527828217,0.0502079501748085
50,SG,IMLE,10,10.0,2.0,5,10,0.19010061025619507,0.04178253561258316,0.18092645704746246,0.04092967510223389
50,SG,IMLE,10,1.0,0.1,15,10,0.2271842509508133,0.04940066114068031,0.2288271188735962,0.051546406000852585
50,SG,IMLE,10,10.0,2.0,5,30,0.2036590725183487,0.04893464595079422,0.19479818642139435,0.04823122173547745
50,SG,IMLE,10,10.0,2.0,5,20,0.20109058916568756,0.04232776537537575,0.2016145884990692,0.0444968044757843
50,SG,IMLE,10,1.0,0.1,10,20,0.21821922063827515,0.03927392140030861,0.22597777843475342,0.051208190619945526
50,SG,IMLE,10,1.0,0.1,10,30,0.22032447159290314,0.04572027921676636,0.22795793414115906,0.04990306869149208
50,SG,IMLE,10,1.0,0.1,15,20,0.22069720923900604,0.04566056653857231,0.22635537385940552,0.053685516119003296
